propiedad,count,type_var,range_unique_values
frAmidine,2,binaria,"(1, 2]"
frNH1,2,binaria,"(1, 2]"
HeteroaromaticRingCount,2,binaria,"(1, 2]"
HeteroaliphaticRingCount,2,binaria,"(1, 2]"
CyclomaticNumber,2,binaria,"(1, 2]"
CarboaromaticRingCount,2,binaria,"(1, 2]"
CarboaliphaticRingCount,2,binaria,"(1, 2]"
CarboRingCount,2,binaria,"(1, 2]"
frImine,2,binaria,"(1, 2]"
frGuanido,2,binaria,"(1, 2]"
frAr NH,2,binaria,"(1, 2]"
AromaticAtomCount,2,binaria,"(1, 2]"
AliphaticRingCount,2,binaria,"(1, 2]"
frNH0,2,binaria,"(1, 2]"
frPiperdine,2,binaria,"(1, 2]"
frPyridine,2,binaria,"(1, 2]"
AromaticRingCount,2,binaria,"(1, 2]"
AtomCountN,3,ordinal,"(2, 9]"
LargestRingSize,3,ordinal,"(2, 9]"
acceptorcount,3,ordinal,"(2, 9]"
RingAtomCount,3,ordinal,"(2, 9]"
Accsitecount,3,ordinal,"(2, 9]"
donorcount,3,ordinal,"(2, 9]"
Hacceptorcount,3,ordinal,"(2, 9]"
Hdonorcount,3,ordinal,"(2, 9]"
frQuatN,3,ordinal,"(2, 9]"
SmallestRingSize,3,ordinal,"(2, 9]"
frNH2,4,ordinal,"(2, 9]"
donsitecount,5,ordinal,"(2, 9]"
RotatableBondCount,8,ordinal,"(2, 9]"
AtomCountC,9,ordinal,"(2, 9]"
ChainAtomCount,10,continua,"(9, 50]"
PolarSurfaceArea,11,continua,"(9, 50]"
AliphaticAtomCount,11,continua,"(9, 50]"
WienerPolarity,13,continua,"(9, 50]"
BondCount,14,continua,"(9, 50]"
BalabanIndex,26,continua,"(9, 50]"
WienerIndex,28,continua,"(9, 50]"
HyperWienerIndex,28,continua,"(9, 50]"
MolPol,33,continua,"(9, 50]"
MinimalProjectionRadius,34,continua,"(9, 50]"
MaximalProjectionRadius,39,continua,"(9, 50]"
maximalprojectionsize,39,continua,"(9, 50]"
LengthPerpendicularToTheMaxArea,39,continua,"(9, 50]"
LengthPerpendicularToTheMinArea,41,continua,"(9, 50]"
AvgPol,41,continua,"(9, 50]"
minimalprojectionsize,41,continua,"(9, 50]"
MinimalProjectionArea,42,continua,"(9, 50]"
ASAP,42,continua,"(9, 50]"
Refractivity,42,continua,"(9, 50]"
ASA,43,continua,"(9, 50]"
VanderWaalsSurfaceArea,43,continua,"(9, 50]"
ASAH,43,continua,"(9, 50]"
ASA-,43,continua,"(9, 50]"
ASA+,43,continua,"(9, 50]"
VanderWaalsVolume,43,continua,"(9, 50]"
MaximalProjectionArea,43,continua,"(9, 50]"
